Actimel. mleko jogurtowe, 88 kcal, 2.7 g, 1.5 g, 16.0 g
Advokat. likier, 280 kcal, 4.4 g, 6.0 g, 26.4 g
Agrest, 60 kcal, 1.2 g, 0.9 g, 11.8 g
Ananas, 33 kcal, 0.2 g, 0.0 g, 7.8 g
Ananas. plastry W syropie, 84 kcal, 0.4 g, 0.1 g, 21.0 g
Ananas. dżem niskosłodzony, 157 kcal, 0.2 g, 0.1 g, 38.6 g
ArbuZ, 15 kcal, 0.3 g, 0.1 g, 3.2 g
Awokado, 160 kcal, 2.0 g, 15.3 g, 7.4 g
Babka biszkoptowa, 340 kcal, 8.2 g, 4.3 g, 67.1 g
Bagietki francuskie, 282 kcal, 7.9 g, 1.7 g, 60.1 g
Bakłażan, 21 kcal, 1.1 g, 0.1 g, 6.3 g
Baleron gotowany, 244 kcal, 15.1 g, 20.2 g, 0.9 g
Banan, 95 kcal, 1.0 g, 0.3 g, 23.5 g
Baranina. łopatka, 284 kcal, 15.6 g, 25.0 g, 0.0 g
Baranina. udZiec, 232 kcal, 18.0 g, 18.0 g, 0.0 g
Barszcz czerwony zabielany, 32 kcal, 2.0 g, 1.4 g, 3.3 g
Barszcz ukraiński, 54 kcal, 2.1 g, 2.7 g, 6.5 g
Barszcz Z boćwiną, 29 kcal, 1.5 g, 1.7 g, 2.5 g
Baton Bounty, 448 kcal, 4.2 g, 25.2 g, 56.7 g
Baton Knoppers, 528 kcal, 8.0 g, 32.0 g, 52.0 g
Baton Mars, 451 kcal, 3.6 g, 18.2 g, 68.9 g
Baton Milky Way, 448 kcal, 3.6 g, 16.2 g, 71.8 g
Baton Nestle Lion, 491 kcal, 7.4 g, 28.9 g, 52.6 g
Baton Snickers, 497 kcal, 9.7 g, 28.2 g, 52.6 g
Baton TWiX, 487 kcal, 5.3 g, 23.2 g, 64.2 g
Baton Z indyka. szynkowy, 143 kcal, 14.9 g, 9.3 g, 0.1 g
Baton Z kurczaka, 144 kcal, 16.7 g, 8.6 g, 0.1 g
Bażant. tuSZka, 108 kcal, 22.3 g, 1.9 g, 0.5 g
Benecol. margaryna, 540 kcal, 0.0 g, 60.0 g, 0.0 g
Befsztyk bity Wiejskie, 258 kcal, 19.4 g, 19.6 g, 1.6 g
Białkojaja kurzego, 49 kcal, 10.9 g, 0.2 g, 0.7 g
Bigos, 119 kcal, 5.1 g, 9.9 g, 3.9 g
Bitki wieprzowe, 195 kcal, 10.4 g, 16.1 g, 2.6 g
Bitki wieprzowe W jarzynach, 198 kcal, 10.7 g, 16.0 g, 4.3 g
Bitki wołowe, 102 kcal, 13.6 g, 4.3 g, 2.4 g
Bitki wołowe Wjarzynach, 116 kcal, 14.3 g, 4.4 g, 6.6 g
Biszkopty. ciastka, 400 kcal, 9.3 g, 7.5 g, 73.8 g
Bobo Fruitjabłkowy, 42 kcal, 0.1 g, 0.0 g, 10.5 g
Boczek wieprzowy, 517 kcal, 10.1 g, 53.0 g, 0.0 g
BoćWina, 35 kcal, 2.1 g, 0.5 g, 5.5 g
Boeuf Strogonow, 220 kcal, 19.5 g, 14.3 g, 3.7 g
Borowik suszony, 342 kcal, 29.0 g, 10.0 g, 34.0 g
Borowik świeży, 36 kcal, 5.4 g, 0.4 g, 2.7 g
Bób, 66 kcal, 7.1 g, 0.4 g, 14.0 g
Brando. landrynki, 390 kcal, 0.0 g, 0.0 g, 96.6 g
Brandy. alkohol, 225 kcal, 0.0 g, 0.0 g, 0.0 g
Brokuły, 27 kcal, 3.0 g, 0.4 g, 5.2 g
Brokuły mrożone, 24 kcal, 2.7 g, 0.4 g, 4.7 g
Brukselka, 37 kcal, 4.7 g, 0.5 g, 8.7 g
Brukselka mrożona, 36 kcal, 4.5 g, 0.5 g, 8.4 g
Brukselka Z WOdy, 110 kcal, 4.2 g, 7.1 g, 12.0 g
BryZ01 wołowy Z polędwicy, 252 kcal, 24.6 g, 16.6 g, 1.4 g
Brzoskwinia, 46 kcal, 1.0 g, 0.2 g, 11.9 g
Brzoskwinia W syropie, 73 kcal, 0.4 g, 0.1 g, 18.2 g
Brzoskwinie. dżem niskosłodzony, 155 kcal, 0.5 g, 0.1 g, 38.3 g
Buchty drożdżowe, 303 kcal, 6.2 g, 11.0 g, 45.6 g
Budyń czekoladowy, 95 kcal, 2.8 g, 2.1 g, 16.2 g
Budyń waniliowy, 91 kcal, 2.5 g, 2.0 g, 15.7 g
Bułka grahamka, 258 kcal, 8.2 g, 1.7 g, 56.9 g
Bułka kajzerka, 226 kcal, 7.5 g, 3.6 g, 59.4 g
Bułka maślana, 326 kcal, 7.7 g, 5.9 g, 61.8 g
Bułka tarta, 363 kcal, 10.4 g, 2.1 g, 75.6 g
Bułka pszenna. zwykła, 272 kcal, 7.3 g, 1.5 g, 58.5 g
Bułka wrocławska, 293 kcal, 2.7 g, 0.4 g, 4.7 g
Burak, 38 kcal, 1.8 g, 0.1 g, 9.5 g
Buraki mrożone, 34 kcal, 1.6 g, 0.1 g, 8.6 g
Buraki zasmażane, 83 kcal, 1.8 g, 5.5 g, 8.7 g
Cappucino. proszek, 385 kcal, 5.3 g, 9.9 g, 68.7 g
Cebula, 37 kcal, 1.4 g, 0.4 g, 6.9 g
Cielęcina. łopatka, 105 kcal, 19.9 g, 2.8 g, 0.0 g
Cielęcina. Z kością, 151 kcal, 19.7 g, 8.0 g, 0.0 g
Chałka, 252 kcal, 5.8 g, 4.4 g, 47.0 g
Chałwa, 531 kcal, 8.0 g, 31.0 g, 55.0 g
Cheesburger, 278 kcal, 12.6 g, 11.8 g, 30.3 g
Chipsy bekonowe, 537 kcal, 5.9 g, 38.0 g, 52.2 g
Chipsy paprykowe, 549 kcal, 6.0 g, 40.0 g, 50.4 g
Chipsy solone, 552 kcal, 5.6 g, 40.7 g, 49.9 g
Cielęcina. beZ kości, 108 kcal, 19.9 g, 3.1 g, 0.0 g
Cherry. brandy - alkohol, 265 kcal, 0.0 g, 0.0 g, 32.4 g
Chleb baltonowski, 246 kcal, 5.9 g, 1.5 g, 55.9 g
Chleb chrupki, 353 kcal, 8.7 g, 2.4 g, 78.9 g
Chleb graham, 226 kcal, 7.6 g, 1.7 g, 49.4 g
Chleb mazowiecki, 248 kcal, 6.3 g, 1.4 g, 56.3 g
Chleb mieszany słonecznikowy, 246 kcal, 6.4 g, 4.5 g, 49.2 g
Chleb pszenny, 249 kcal, 6.8 g, 1.4 g, 56.0 g
Chleb staropolski, 219 kcal, 5.0 g, 1.7 g, 50.5 g
Chleb Wiejski, 239 kcal, 5.8 g, 1.3 g, 55.1 g
Chleb zwykły, 245 kcal, 5.4 g, 1.3 g, 57.0 g
Chleb praski, 244 kcal, 5.7 g, 1.3 g, 56.2 g
Chleb Zytni jasny, 241 kcal, 4.0 g, 1.3 g, 57.1 g
Chleb Zytni jasny mleczny, 253 kcal, 4.8 g, 1.8 g, 58.3 g
Chleb Zytni pełnoziarnisty, 237 kcal, 6.7 g, 1.8 g, 53.9 g
Chleb Zytni razowy, 223 kcal, 5.6 g, 1.7 g, 51.5 g
Chleb Zytni razowy na miodzie, 234 kcal, 5.3 g, 1.6 g, 54.2 g
Chleb Zytni Wileński, 225 kcal, 4.4 g, 1.5 g, 52.3 g
Chrupki kukurydziane, 352 kcal, 8.9 g, 3.0 g, 78.9 g
Chrzan, 67 kcal, 4.5 g, 0.6 g, 18.1 g
Ciastka francuskie, 432 kcal, 5.0 g, 26.8 g, 44.8 g
Ciastka karpatki, 449 kcal, 4.7 g, 30.9 g, 39.1 g
Ciastka napoleonki, 348 kcal, 5.9 g, 17.0 g, 43.6 g
Ciastka tortowe Z owocami, 276 kcal, 3.2 g, 9.0 g, 47.2 g
Ciasto drożdżowe, 290 kcal, 7.4 g, 8.2 g, 47.7 g
Ciasto kruche podstawowe, 429 kcal, 5.2 g, 23.8 g, 49.9 g
Ciasto naleśnikowe beZ piany, 174 kcal, 5.9 g, 4.3 g, 28.4 g
Ciasto naleśnikowe biszkoptowe, 187 kcal, 8.3 g, 6.0 g, 25.5 g
Cielęcina W potrawce, 103 kcal, 13.5 g, 4.0 g, 4.0 g
Cielęcina. sznyclóWka, 105 kcal, 20.5 g, 2.4 g, 0.0 g
Cielęcina. udZiec, 108 kcal, 19.9 g, 3.1 g, 0.0 g
Coca-cola, 42 kcal, 0.0 g, 0.0 g, 10.4 g
Cukier, 405 kcal, 0.0 g, 0.0 g, 99.8 g
Cukierki irysy, 421 kcal, 4.3 g, 10.7 g, 76.1 g
Cukierki krówki, 412 kcal, 4.1 g, 10.6 g, 76.7 g
Cukierki owocowe, 374 kcal, 0.3 g, 0.5 g, 92.0 g
Cukinia, 15 kcal, 1.2 g, 0.1 g, 3.2 g
Cukierki owocowe, 374 kcal, 0.3 g, 0.5 g, 92.0 g
Curacao. likier - alkohol, 319 kcal, 0.0 g, 0.0 g, 27.6 g
Cykoria, 21 kcal, 1.7 g, 0.2 g, 4.1 g
Cytryna, 36 kcal, 0.8 g, 0.3 g, 9.5 g
Czarne jagody, 45 kcal, 0.8 g, 0.6 g, 12.2 g
Czekolada biała, 530 kcal, 7.7 g, 38.4 g, 51.0 g
Czekolada deserowa, 531 kcal, 5.3 g, 28.9 g, 64.0 g
Czekolada gorzka, 554 kcal, 6.7 g, 34.3 g, 56.6 g
Czekolada kawowa, 526 kcal, 5.5 g, 29.0 g, 62.7 g
Czekolada mleczna, 549 kcal, 9.8 g, 32.5 g, 54.7 g
Czekolada mleczna Z orzechami, 539 kcal, 8.6 g, 30.9 g, 57.3 g
Czekolada nadziewana, 450 kcal, 3.9 g, 17.6 g, 68.8 g
Czekoladki Ferrero Rocher, 562 kcal, 9.0 g, 40.2 g, 41.0 g
Czekoladki Golden Nut, 576 kcal, 6.0 g, 39.0 g, 50.2 g
Czekoladki Mon. Cheri, 421 kcal, 3.2 g, 19.7 g, 57.8 g
Czekoladki Raffaello, 600 kcal, 9.7 g, 46.6 g, 35.4 g
Czekoladki Tofflfee, 535 kcal, 6.0 g, 31.0 g, 58.0 g
Czereśnie, 55 kcal, 1.0 g, 0.5 g, 11.6 g
Czosnek, 144 kcal, 6.2 g, 0.5 g, 28.8 g
ćwikła, 41 kcal, 1.6 g, 0.1 g, 10.2 g
Daktyle suszone, 277 kcal, 2.0 g, 0.4 g, 74.0 g
Danonki.jogurt do picia, 87 kcal, 2.8 g, 1.6 g, 15.4 g
Delicje. ciastka, 376 kcal, 3.5 g, 8.4 g, 71.5 g
Delma. margaryna, 496 kcal, 0.0 g, 55.0 g, 0.2 g
Deser ryżowy jabłkowy, 134 kcal, 2.8 g, 3.0 g, 23.9 g
Deser ryżowy waniliowy, 133 kcal, 3.0 g, 2.9 g, 23.5 g
Deser czekoladow. Monte, 195 kcal, 2.8 g, 13.3 g, 15.9 g
Deser twarogowy kakaowy, 156 kcal, 13.9 g, 6.2 g, 11.2 g
Deser twarogowy truskawkowy, 170 kcal, 11.0 g, 5.8 g, 18.3 g
Dorsz świeży, 78 kcal, 17.7 g, 0.7 g, 0.0 g
Dorsz świeży. filet, 78 kcal, 17.7 g, 0.7 g, 0.0 g
Dorsz Wjarzynach, 117 kcal, 15.6 g, 4.9 g, 3.9 g
Dorsz wędzony, 94 kcal, 22.1 g, 0.5 g, 0.0 g
Dorsz Z rusztu, 172 kcal, 22.1 g, 9.1 g, 0.6 g
Dorsz. filety po grecku, 152 kcal, 10.6 g, 10.8 g, 4.6 g
Dorsz. filety smażone panierowane, 273 kcal, 19.1 g, 0.7 g, 0.0 g
Dorsz. kotlet mielony, 260 kcal, 14.9 g, 17.8 g, 10.9 g
Dorsz. pulpety, 112 kcal, 14.2 g, 2.6 g, 8.8 g
Dorsz. sałatka, 187 kcal, 9.8 g, 13.9 g, 7.2 g
Drażetki Tic Tac, 390 kcal, 0.0 g, 0.0 g, 97.5 g
Drożdze piekarskie, 132 kcal, 11.3 g, 2.0 g, 14.5 g
Drożdżówka, 321 kcal, 6.0 g, 9.0 g, 50.0 g
Dynia, 28 kcal, 1.3 g, 0.3 g, 7.7 g
Dynia Z pomidorami, 44 kcal, 1.2 g, 2.4 g, 6.5 g
Dynia. pestki, 556 kcal, 24.5 g, 45.8 g, 18.0 g
Dżem niskosłodzony, 163 kcal, 0.5 g, 0.0 g, 63.0 g
Dżem wysokosłodzony, 257 kcal, 0.5 g, 0.2 g, 63.4 g
Eklerki. ciastka, 301 kcal, 5.0 g, 9.0 g, 50.0 g
Eklerki Z bitą śmietaną, 317 kcal, 5.8 g, 18.0 g, 33.5 g
EndyWia, 17 kcal, 1.8 g, 0.6 g, 1.0 g
Familijne. wafle, 533 kcal, 7.1 g, 29.6 g, 59.5 g
Fasola biała. suche nasiona, 288 kcal, 21.4 g, 1.6 g, 61.6 g
Fasola cięta. konserwowa, 16 kcal, 1.5 g, 0.2 g, 4.5 g
Fasola szparagowa, 27 kcal, 2.4 g, 0.2 g, 7.6 g
Fasolka flageolet konserwowa, 61 kcal, 6.3 g, 0.2 g, 15.0 g
Fasolka po bretońsku, 141 kcal, 8.0 g, 6.6 g, 15.9 g
Fasolka szparagowa, 97 kcal, 2.9 g, 6.9 g, 10.3 g
Fasolka szparagowa. mrożona, 24 kcal, 2.2 g, 0.2 g, 6.8 g
Ferrero Rocher. czekoladki, 562 kcal, 9.0 g, 40.2 g, 41.0 g
Figi suszone, 290 kcal, 3.6 g, 1.2 g, 78.0 g
Flaki wołowe suche, 84 kcal, 16.0 g, 2.2 g, 0.0 g
Flaki wołowe na rosole, 71 kcal, 4.6 g, 4.2 g, 3.7 g
Flądra świeża, 83 kcal, 16.5 g, 1.8 g, 0.0 g
Flora. margaryna, 328 kcal, 0.1 g, 35.0 g, 3.2 g
Frytki mrożone, 172 kcal, 2.5 g, 5.5 g, 28.0 g
Frytki Z frytkownicy, 252 kcal, 3.0 g, 12.0 g, 33.0 g
Frytki Z piekarnika, 231 kcal, 3.5 g, 5.0 g, 37.0 g
Galaretka Z nóżek wieprzowych, 202 kcal, 16.9 g, 14.9 g, 0.8 g
Gęś. tuSZka, 339 kcal, 14.1 g, 31.8 g, 0.0 g
Gin. alkohol, 225 kcal, 0.0 g, 0.0 g, 0.0 g
Golden Nut. czekoladki, 576 kcal, 6.0 g, 39.0 g, 50.2 g
Golonka wieprzowa ze skórą, 297 kcal, 18.6 g, 24.7 g, 0.0 g
Gołąbki tradycyjne, 108 kcal, 3.6 g, 6.7 g, 10.0 g
Granat, 65 kcal, 2.4 g, 0.4 g, 13.2 g
Grejpfrut, 36 kcal, 0.6 g, 0.2 g, 9.8 g
Groch. suche nasiona, 293 kcal, 23.8 g, 1.4 g, 60.2 g
Groszek Zielony, 75 kcal, 6.7 g, 0.4 g, 17.0 g
Groszek Zielony. konserwowy, 63 kcal, 4.9 g, 0.2 g, 15.8 g
Groszek Zielony mrożony, 72 kcal, 6.4 g, 0.4 g, 16.3 g
Groszek Zielony Z masłem, 100 kcal, 3.7 g, 6.8 g, 9.3 g
Gruszka, 54 kcal, 0.6 g, 0.2 g, 14.4 g
Gruszka suszona, 329 kcal, 0.7 g, 0.5 g, 80.4 g
Gruszki W sosie waniliowym, 151 kcal, 1.6 g, 1.1 g, 34.8 g
Gulasz wołowy, 148 kcal, 14.0 g, 9.2 g, 2.6 g
Grześki. wafle, 550 kcal, 8.5 g, 34.5 g, 51.5 g
Halibut biały. świeży, 98 kcal, 20.1 g, 1.9 g, 0.0 g
Hamburger, 268 kcal, 11.4 g, 9.5 g, 34.3 g
Hamburger BicMac McDonald, 273 kcal, 11.4 g, 15.1 g, 22.8 g
Hamburger McChicken McDonald, 295 kcal, 9.7 g, 15.9 g, 28.3 g
Herbata beZ cukru, 0 kcal, 0.1 g, 0.0 g, 0.0 g
Herbatniki, 437 kcal, 8.2 g, 11.0 g, 76.8 g
Herbatniki Corso, 440 kcal, 5.0 g, 17.2 g, 67.1 g
Herbatniki kakaowe, 474 kcal, 6.9 g, 22.3 g, 62.9 g
Herbatniki kokosowe, 473 kcal, 6.4 g, 25.2 g, 59.8 g
Herbatniki sezamowe, 503 kcal, 8.1 g, 28.6 g, 55.7 g
Herbatniki W czekoladzie, 489 kcal, 6.3 g, 24.0 g, 63.1 g
Herbatniki Z cukrem, 460 kcal, 6.7 g, 17.2 g, 70.7 g
Herbatniki Z nadzieniem owocowym, 389 kcal, 3.8 g, 16.1 g, 58.6 g
Homar, 85 kcal, 18.8 g, 0.9 g, 0.5 g
Indyk. mięso Z piersi beZ skóry, 84 kcal, 19.2 g, 0.7 g, 0.0 g
Indyk. mięso Z podudzia ze skórą, 142 kcal, 15.7 g, 8.9 g, 0.0 g
Indyk. udko ze skórą, 131 kcal, 18.4 g, 6.4 g, 0.0 g
Indyk. skrzydełko, 168 kcal, 16.5 g, 11.4 g, 0.0 g
Irysy. cukierki, 418 kcal, 4.3 g, 10.7 g, 76.1 g
Jabłko, 46 kcal, 0.4 g, 0.4 g, 12.1 g
Jabłko pieczone, 93 kcal, 0.3 g, 1.6 g, 20.8 g
Jabłko suszone, 238 kcal, 2.1 g, 2.1 g, 62.3 g
Jabłko W kruchym cieście, 348 kcal, 4.1 g, 17.4 g, 45.3 g
Jagnięcina, 126 kcal, 20.4 g, 4.9 g, 0.0 g
Jagody, 62 kcal, 1.1 g, 0.9 g, 12.2 g
Jagodowy dżem. niskosłodzony, 153 kcal, 0.3 g, 0.2 g, 38.2 g
Jagodzianki, 314 kcal, 7.1 g, 5.4 g, 60.6 g
Jajko kurze. białko, 46 kcal, 10.8 g, 0.0 g, 0.8 g
Jajko kurze. całe, 150 kcal, 12.5 g, 10.7 g, 1.0 g
Jajko kurze. Żółtko, 355 kcal, 16.3 g, 31.9 g, 0.7 g
Jajko sadzone, 181 kcal, 10.1 g, 15.2 g, 0.9 g
Jajko smażone. jajecznica, 131 kcal, 10.0 g, 9.7 g, 0.8 g
JałOWCÓWka. Wódka, 226 kcal, 0.0 g, 0.0 g, 0.0 g
Jarmuż, 29 kcal, 3.3 g, 0.7 g, 6.1 g
Jarzyny mrożone, 30 kcal, 2.8 g, 0.3 g, 7.5 g
Jeżyki. ciastka, 457 kcal, 5.0 g, 21.3 g, 61.2 g
Jeżyny, 71 kcal, 1.2 g, 0.4 g, 15.7 g
Jogurt bananowy 1.5%, 70 kcal, 3.7 g, 1.5 g, 10.4 g
Jogurtjagodowy 1.5%, 62 kcal, 3.7 g, 1.5 g, 8.8 g
Jogurt morelowy 1.5%, 63 kcal, 4.2 g, 0.0 g, 6.2 g
Jogurt naturalny 0.0%, 42 kcal, 3.7 g, 1.5 g, 8.8 g
Jogurt naturalny 2.0%, 60 kcal, 4.3 g, 2.0 g, 6.2 g
Jogurt owocowy 2.7%, 99 kcal, 3.3 g, 2.7 g, 13.7 g
Jogurt truskawkowy 1.5%, 60 kcal, 3.7 g, 1.5 g, 8.2 g
Jogurt Wiśniowy 1.5%, 61 kcal, 3.7 g, 1.5 g, 8.2 g
Kabanosy, 326 kcal, 27.4 g, 24.3 g, 0.0 g
Kabanosy Z kurczaka, 247 kcal, 22.8 g, 17.4 g, 0.1 g
Kaczka. tuSZka, 308 kcal, 13.5 g, 28.6 g, 0.0 g
Kakako W proszku 16%, 448 kcal, 18.2 g, 21.7 g, 50.6 g
Kalafior, 22 kcal, 2.4 g, 0.2 g, 0.5 g
Kalafior mrożony, 20 kcal, 2.2 g, 0.2 g, 4.5 g
Kalafior Z WOdy, 33 kcal, 2.0 g, 6.8 g, 5.5 g
Kalarepa, 29 kcal, 2.2 g, 0.3 g, 6.5 g
Kapusta biała, 29 kcal, 1.7 g, 0.2 g, 7.4 g
Kapusta biała zasmażana, 69 kcal, 1.6 g, 4.7 g, 7.2 g
Kapusta czerwona, 27 kcal, 1.9 g, 0.2 g, 6.7 g
Kapusta kwaszona, 12 kcal, 1.1 g, 0.2 g, 3.4 g
Kapusta pekińska, 12 kcal, 1.2 g, 0.2 g, 3.2 g
